IDENT,PROBLEM,ACTION,DESAB
100807,LOWER OIL COOLER LINE NEEDS TO BE REPOSITIONED.,"LOOSENED LINE, REPOSITIONED LINE & RETIGHTENED. LEAK CH",LOWER OIL COOLER LINE NEEDS TO BE REPOSITIONED.
100808,CYL #2 INTAKE GASKET LEAKING.,REPLACED CYL #2 INTAKE GASKET.,CYLINDER #2 INTAKE GASKET LEAKING.
100809,#3 ROCKER COVER IS LEAKING.,REMOVED & REPLACED #3 ROCKER GASKET.,#3 ROCKER COVER IS LEAKING.
100810,CYL #4 ROCKER COVER GASKET LEAKING.,REMOVED & REPLACED COVER GASKET.,CYLINDER #4 ROCKER COVER GASKET LEAKING.
100811,REAR R/H ENGINE BAFFLE MOUNT BRACKET RIVETS SHEARED.,"DRILLED OUT SHEARED RIVET, INSTALLED NEW, REPAIR DONE I",REAR RIGHT ENGINE BAFFLE MOUNT BRACKET RIVETS SHEARED.
100812,SLIGHT POWER LOSS ON TAKE OFF,"COMPLETED DIFFERENTIAL COMPRESSION TEST (#1-76, #2-75,",SLIGHT POWER LOSS ON TAKE OFF
100812,SLIGHT POWER LOSS ON TAKE OFF,FOR BILLING PURPOSES ONLY,SLIGHT POWER LOSS ON TAKE OFF
100814,#2 INTAKE LEAKING.,REMOVED & REPLACED #2 INTAKE GASKET.,#2 INTAKE LEAKING.
100815,R/H BAFFLE #3 CYLINDER NEEDS BAFFLE SCREW.,INSTALLED NEW FASTENER ON BAFFLE.,RIGHT BAFFLE #3 CYLINDER NEEDS BAFFLE SCREW.
100816,#2 CYLINDER INTAKE GASKET LEAKING.,REMOVED & REPLACED INTAKE GASKET. CLEANED EXISTING LEAK,#2 CYLINDER INTAKE GASKET LEAKING.
100817,#3 & 4 CYLINDER ROCKER COVER GASKETS LEAKING.,"REMOVED & REPLACED ROCKER COVER GASKETS, CLEANED AREA O",#3 & 4 CYLINDER ROCKER COVER GASKETS LEAKING.
100818,L/H REAR ENGINE BAFFLE CRACKED.,STOP DRILLED CRACK.,LEFT REAR ENGINE BAFFLE CRACKED.
100819,#2 INDUCTION TUBE GASKET LEAKING.,INSTALLED NEW #2 INDUCTION TUBE GASKET.,#2 INDUCTION TUBE GASKET LEAKING.
100820,#2 CYLINDER ROCKER COVER GASKET LEAKING.,REMOVED & REPLACED ROCKER COVER GASKET. CLEARED INITIAL,#2 CYLINDER ROCKER COVER GASKET LEAKING.
100821,#2 INTAKE IS LEAKING.,REMOVED & REPLACED INTAKE GASKET.,#2 INTAKE IS LEAKING.
100822,#1 ROCKER COVER IS LEAKING.,REMOVED & REPLACED ROCKER COVER GASKETS.,#1 ROCKER COVER IS LEAKING.
100823,TOP & BOTTOM RUDDER COVERS ARE CRACKED.,STOP DRILLED CRACKS & FILLED W/ 2 PART EPOXY.,TOP & BOTTOM RUDDER COVERS ARE CRACKED.
100824,#4 INDUCTION TUBE GASKET LEAKING.,REMOVED & REPLACED CYL #4 INTAKE TUBE GASKET.,#4 INDUCTION TUBE GASKET LEAKING.
100825,"FRONT BAFFLE BY INTAKE HEAT, AROUND MUFFLER SHROUD, IS CRACK",REMOVED MUFFLER TO GAIN ACCESS. BEGAN FABRICATING PATCH,"FRONT BAFFLE BY INTAKE HEAT, AROUND MUFFLER SHROUD, IS CRACK"
100826,CYL #2 ROCKER COVER IS LEAKING.,REPLACED ROCKER COVER GASKET.,CYLINDER #2 ROCKER COVER IS LEAKING.
100827,FWD BAFFLE CENTER SECTION IS WORN THROUGH.,REMOVED WORN SECTION OF BAFFLE. FABRICATED NEW SECTION,FORWARD BAFFLE CENTER SECTION IS WORN THROUGH.
100828,L/H ENGINE #2 INTAKE IS LEAKING.,REMOVED & REPLACED INTAKE GASKET.,LEFT ENGINE #2 INTAKE IS LEAKING.
100829,L/H ENGINE #3 INTAKE GASKET LEAKING.,REMOVED & REPLACED L/H ENG #3 INTAKE GASKET.,LEFT ENGINE #3 INTAKE GASKET LEAKING.
100830,"L/H ENGINE #2, 3 ROCKER COVERS ARE LEAKING.",REMOVED & REPLACED ROCKER COVER GASKETS.,"LEFT ENGINE #2, 3 ROCKER COVERS ARE LEAKING."
100831,"#3 ROCKER COVER, ROCKER SHAFT PLUGS ARE BROKEN.",REMOVED & REPLACED ROCKER SHAFT PLUGS.,"#3 ROCKER COVER, ROCKER SHAFT PLUGS ARE BROKEN."
100832,CYL #2 INTAKE IS LEAKING.,REPLACED INTAKE GASKET.,CYLINDER #2 INTAKE IS LEAKING.
100833,CYL #2 & 4 ROCKER COVERS ARE LEAKING.,REPLACED ROCKER COVER GASKET.,CYLINDER #2 & 4 ROCKER COVERS ARE LEAKING.
100834,#2 INTAKE IS LEAKING.,REMOVED & REPLACED GASKET.,#2 INTAKE IS LEAKING.
100835,ENGINE IS DIRTY.,WASHED ENGINE.,ENGINE IS DIRTY.
100836,#1 & 3 INTAKES ARE LEAKING.,REMOVED & REPLACED INTAKE GASKET.,#1 & 3 INTAKES ARE LEAKING.
100837,R/H BACK BAFFLE IS MISSING A SCREW.,INSTALLED NEW BAFFLE SCREW.,RIGHT BACK BAFFLE IS MISSING A SCREW.
100838,R/H FRONT BAFFLE SEAL RIVET IS BROKEN.,REMOVED RIVET & REPLACED W/ A SCREW.,RIGHT FRONT BAFFLE SEAL RIVET IS BROKEN.
100839,CYL #2 INTAKE PUSH ROD TUBE INNER SEAL IS WEEPING.,LEAK CK GOOD.,CYLINDER #2 INTAKE PUSH ROD TUBE INNER SEAL IS WEEPING.
100839,CYL #2 INTAKE PUSH ROD TUBE INNER SEAL IS WEEPING.,ROTATED PUSH ROD TUBE TO RESEAT SEAL.,CYLINDER #2 INTAKE PUSH ROD TUBE INNER SEAL IS WEEPING.
100841,FWD BAFFLE IS CRACKED UNDER HEAT SHROUD AIR INTAKE.,"STOP DRILLED CRACKS, FABRICATED PATCH OUT OF LIKE MATER",FORWARD BAFFLE IS CRACKED UNDER HEAT SHROUD AIR INTAKE.
100842,R/H SIDE OF BAFFLE IS CRACKED.,STOP DRILLED CRACK.,RIGHT SIDE OF BAFFLE IS CRACKED.
100843,#4 ROCKER COVER IS LEAKING.,REMOVED & REPLACED ROCKER COVER.,#4 ROCKER COVER IS LEAKING.
100844,R/H ENGINE ROCKER COVER SCREWS LOOSE.,TIGHTENED SCREWS.,RIGHT ENGINE ROCKER COVER SCREWS LOOSE.
100845,R/H ENG CYL #3 INTAKE IS LEAKING.,REMOVED & REPLACED R/H #3 INTAKE GASKET.,RIGHT ENGINE CYLINDER #3 INTAKE IS LEAKING.
100846,"#2, 3 ROCKER COVER GASKETS LEAKING.","REMOVED & REPLACED #2, 3 ROCKER COVER GASKETS. REPLACED","#2, 3 ROCKER COVER GASKETS LEAKING."
100847,#2 INTAKE GASKET LEAKING.,REMOVED & REPLACED INTAKE GASKET W/ NEW.,#2 INTAKE GASKET LEAKING.
100848,OIL COOLER HOSE REQUIRES REPOSITIONING.,REPOSITIONED & TIGHTENED OIL HOSE.,OIL COOLER HOSE REQUIRES REPOSITIONING.
100849,#1 & 2 ROCKER COVERS MISSING 2 SCREWS.,REPLACED SCREWS.,#1 & 2 ROCKER COVERS MISSING 2 SCREWS.
100850,"#2, 3 & 4 ROCKER COVERS LEAK.",REMOVED & REPLACED ROCKER COVER GASKETS.,"#2, 3 & 4 ROCKER COVERS LEAK."
100851,L/H BAFFLE O/B TIE ROD IS BROKEN.,REMOVED & REPLACED L/H BAFFLE TIE ROD.,LEFT BAFFLE O/B TIE ROD IS BROKEN.
100852,L/H REAR BAFFLE MOUNT IS LOOSE.,"SECURED HARDWARE, BAFFLE CHECKS GOOD FOR SECURITY.",LEFT REAR BAFFLE MOUNT IS LOOSE.
100853,ENGINE IDLES VERY IRRATICALLY BELOW 1150 RPM.,TRIED MAKING SEVERAL IDLE MIXTURE ADJUSTMENTS. REPLACED,ENGINE IDLES VERY IRRATICALLY BELOW 1150 RPM.
100853,ENGINE IDLES VERY IRRATICALLY BELOW 1150 RPM.,REPLACED FUEL PUMP. PROBLEM PERSISTED,ENGINE IDLES VERY IRRATICALLY BELOW 1150 RPM.
100853,ENGINE IDLES VERY IRRATICALLY BELOW 1150 RPM.,RETIMED BOTH MAGS. BEGAN REPLACEMENT OF FUEL INJECTOR S,ENGINE IDLES VERY IRRATICALLY BELOW 1150 RPM.
100853,ENGINE IDLES VERY IRRATICALLY BELOW 1150 RPM.,"STARTED ENGINE IN HANGAR, OPS CHECK GOOD AT & BELOW 100",ENGINE IDLES VERY IRRATICALLY BELOW 1150 RPM.
100857,TOP CENTER BAFFEL SCREW IS HITTING MOUNT,INSPECTED & DETERMINED SCRATCH WAS NEGLIGIBLE. BLENDED,TOP CENTER BAFFEL SCREW IS HITTING MOUNT
100858,R/H ENG #2 & 3 INTAKE GASKETS ARE LEAKING.,INSTALLED NEW GASKETS.,RIGHT ENGINE #2 & 3 INTAKE GASKETS ARE LEAKING.
100859,#2 & 3 ROCKER COVER GASKETS LEAKING.,REMOVED & REPLACED #2 & 3 ROCKER COVER GASKETS.,#2 & 3 ROCKER COVER GASKETS LEAKING.
100860,#3 BAFFLE IS MISSING SCREW ON BRACKET.,INSTALLED NEW SCREW.,#3 BAFFLE IS MISSING SCREW ON BRACKET.
100861,"#2, 3 & 4 ROCKER COVERS ARE LEAKING.",REMOVED & REPLACED ROCKER COVER GASKETS.,"#2, 3 & 4 ROCKER COVERS ARE LEAKING."
100862,#2 INTAKE GASKET LEAKS.,REMOVED & REPLACED INTAKE GASKET.,#2 INTAKE GASKET LEAKS.
100863,"#1, 3, 4 ROCKER COVER GASKETS LEAKING.",REMOVED & REPLACED ROCKER COVER GASKETS.,"#1, 3, 4 ROCKER COVER GASKETS LEAKING."
100864,INTAKE TUBE #2 LEAKING.,REMOVED & REPLACED INTAKE GASKET #2.,INTAKE TUBE #2 LEAKING.
100865,REAR R/H ENGINE BAFFLE BRACKET RIVETS LOOSE.,"REMOVED BAFFLE, INSTALLED NEW BRACKET HARDWARE. REINSTA",REAR RIGHT ENGINE BAFFLE BRACKET RIVETS LOOSE.
100866,#1 INTAKE HAS EVIDENCE OF LEAKING.,REPLACED GASKET.,#1 INTAKE HAS EVIDENCE OF LEAKING.
100867,#4 INTAKE GASKET IS LEAKING.,REPLACED GASKET.,#4 INTAKE GASKET IS LEAKING.
100868,CYL #2 & 4 INTAKES ARE LEAKING.,REMOVED & REPLACED INTAKE GASKETS.,CYLINDER #2 & 4 INTAKES ARE LEAKING.
100869,#2 INDUCTION TUBE GASKET LEAKING.,INSTALLED NEW INDUCTION TUBE GASKET.,#2 INDUCTION TUBE GASKET LEAKING.
100870,#2 & 1 ROCKER COVERS LEAKING.,REMOVED & REPLACED ROCKER COVER GASKETS W/ NEW.,#2 & 1 ROCKER COVERS LEAKING.
100871,R/H BAFFLE SPRING BROKEN.,REMOVED & REPLACED BAFFLE SPRING W/ NEW.,RIGHT BAFFLE SPRING BROKEN.
100872,R/H AFT BAFFLE CRACKED.,INSPECTED & FOUND CRACK TO HAVE BEEN PREVIOUSLY REPAIRE,RIGHT AFT BAFFLE CRACKED.
100873,FELT VIBRATION LIKE STUCK VALVE IN FLIGHT.,STARTED DISASSEMBLY FOR VALVE REAMING.,FELT VIBRATION LIKE STUCK VALVE IN FLIGHT.
100873,FELT VIBRATION LIKE STUCK VALVE IN FLIGHT.,FINISHED DISASSEMBLY & BEGAN REAMING EXHAUST VALVES.,FELT VIBRATION LIKE STUCK VALVE IN FLIGHT.
100873,FELT VIBRATION LIKE STUCK VALVE IN FLIGHT.,FINISHED REAMING ALL 4 EXHAUST VALVE GUIDES. BEGAN REAS,FELT VIBRATION LIKE STUCK VALVE IN FLIGHT.
100873,FELT VIBRATION LIKE STUCK VALVE IN FLIGHT.,"COMPLETED ASSY OF BAFFLES, CLAMPS, FUEL SUPPLY HOSE, OI",FELT VIBRATION LIKE STUCK VALVE IN FLIGHT.
100877,#2 INTAKE ON R/H ENGINE LEAKING.,REPLACED GASKET.,#2 INTAKE ON RIGHT ENGINE LEAKING.
100878,#2 & 4 INTAKES LEAKING ON L/H ENGINE.,REMOVED & REPLACED GASKETS.,#2 & 4 INTAKES LEAKING ON LEFT ENGINE.
100879,#2 ROCKER COVER LEAKING ON R/H ENGINE.,REMOVED & REPLACED GASKET.,#2 ROCKER COVER LEAKING ON RIGHT ENGINE.
100880,R/H BAFFLE SPRING BROKEN.,REMOVED & REPLACED BAFFLE SPRING W/ NEW.,RIGHT BAFFLE SPRING BROKEN.
100881,AFT BAFFLE BRACKET MISSING RIVETS.,INSTALLED NEW RIVETS IN BRACKET IAW  STRUCTURAL R,AFT BAFFLE BRACKET MISSING RIVETS.
100882,L/H ENG CYL #2 INTAKE IS LEAKING.,REPLACED INTAKE GASKET.,LEFT ENGINE CYLINDER #2 INTAKE IS LEAKING.
100883,R/H ENG #3 CYL INTAKE IS LEAKING.,REPLACED INTAKE GASKET.,RIGHT ENGINE #3 CYLINDER INTAKE IS LEAKING.
100884,L/H ENG #4 INTAKE TUBE GASKET LEAKING.,REPLACED INTAKE GASKET.,LEFT ENGINE #4 INTAKE TUBE GASKET LEAKING.
100885,R/H ENG CYL #1 PRIMER LINE SLEEVE IS TORN.,REPLACED TORN PRIMER LINE SLEEVE.,RIGHT ENGINE CYLINDER #1 PRIMER LINE SLEEVE IS TORN.
100886,R/H ENGINE #2 INTAKE IS LEAKING.,REMOVED & REPLACED GASKET.,RIGHT ENGINE #2 INTAKE IS LEAKING.
100887,L/H ENGINE #2 INTAKE IS LEAKING.,REMOVED & REPLACED #2 INTAKE GASKET.,LEFT ENGINE #2 INTAKE IS LEAKING.
100888,R/H ENGINE BAFFLE SEAL UNDER PROP GOVERNOR IS LOOSE.,RESECURED BAFFLE SEAL.,RIGHT ENGINE BAFFLE SEAL UNDER PROP GOVERNOR IS LOOSE.
100889,L/H ENGINE #2 ROCKER COVER IS LEAKING.,REMOVED & REPLACED L/H ENGINE #2 ROCKER COVER GASKET.,LEFT ENGINE #2 ROCKER COVER IS LEAKING.
100890,"SCREW MISSING, L/H AFT BAFFLING, ON ENG (BEHIND DIPSTICK TUB",INSTALLED SCREW.,"SCREW MISSING, LEFT AFT BAFFLING, ON ENGINE (BEHIND DIPSTICK TUB"
100891,#2 EGT READ HIGH 100 - 150 DEGREES ABOVE OTHER CYLS.,REMOVED OBSTRUCTION FROM #2 CYL INJECTOR NOZZLE. REINST,#2 EXHAUST GAS TEMPERATURE  READ HIGH 100 - 150 DEGREES ABOVE OTHER CYLS.
100892,"L/H ENGINE, L/H MAGNETO HAD DROP OF 300 RPM ON RUN UP. LEANE","RAN UP A/C, LEANED MIXTURE TO CLEAR FOULED PLUG. MAG DR","LEFT ENGINE, LEFT MAGNETO HAD DROP OF 300 RPM ON RUN UP. LEANE"
100893,"LEAKING INTAKE GASKETS, CYL #2 & 3.",REMOVED & REPLACED INTAKE GASKETS.,"LEAKING INTAKE GASKETS, CYLINDER #2 & 3."
100894,#2 & 1 ROCKER COVERS ARE LEAKING.,REOMVED & REPLACED ROCKER GASKETS.,#2 & 1 ROCKER COVERS ARE LEAKING.
100895,"R/H ENGINE, L/H SIDE FWD COWL SEAL IS LOOSE.",SECURED SEAL.,"RIGHT ENGINE, LEFT SIDE FORWARD COWL SEAL IS LOOSE."
100896,L/H ENGINE #3 & 4 ROCKER COVERS ARE LEAKING.,REMOVED & REPLACED L/H ENGINE #3 & 4 ROCKER COVER GASKE,LEFT ENGINE #3 & 4 ROCKER COVERS ARE LEAKING.
100897,R/H ENGINE #3 & 4 ROCKER COVERS ARE LEAKING.,REMOVED & REPLACED R/H ENGINE #3 & 4 ROCKER COVER GASKE,RIGHT ENGINE #3 & 4 ROCKER COVERS ARE LEAKING.
100898,CYL #2 & 4 INTAKE GASKETS LEAKING.,REMOVED & REPLACED GASKETS.,CYLINDER #2 & 4 INTAKE GASKETS LEAKING.
100899,CYL #3 ROCKER COVER GASKET LEAKING.,REMOVED & REPLACED GASKET.,CYLINDER #3 ROCKER COVER GASKET LEAKING.
100900,#1 & 2 ROCKER COVERS LEAKING.,REMOVED & REPLACED 1 & 2 ROCKER COVER GASKETS.,#1 & 2 ROCKER COVERS LEAKING.
100901,CYL #1 INTAKE IS LEAKING.,REPLACED GASKET.,CYLINDER #1 INTAKE IS LEAKING.
100902,R/H FWD BAFFLE SEAL NEEDS TO BE SECURED.,"REPLACED BAFFLE SEAL, FOUND UNSERVICEABLE.",RIGHT FORWARD BAFFLE SEAL NEEDS TO BE SECURED.
100903,BACK L/H BAFFLE HAS A CRACK.,STOP DRILLED CRACK.,BACK LEFT BAFFLE HAS A CRACK.
100904,#2 INTAKE IS LEAKING.,REMOVED & REPLACED INTAKE GASKET.,#2 INTAKE IS LEAKING.
100905,#2 ROCKER COVER LEAKING.,REMOVED & REPLACED #2 ROCKER COVER GASKET.,#2 ROCKER COVER LEAKING.
100906,#4 INTAKE LEAKING.,REMOVED & REPLACED #4 INTAKE GASKET.,#4 INTAKE LEAKING.
100907,#4 ROCKER COVER LEAKING.,REMOVED & REPLACED #4 ROCKER COVER GASKET.,#4 ROCKER COVER LEAKING.
100908,TEST FLIGHT NEEDED FOR UNUSUAL VIBRATION.,FOR TEST FLIGHT.,TEST FLIGHT NEEDED FOR UNUSUAL VIBRATION.
100908,TEST FLIGHT NEEDED FOR UNUSUAL VIBRATION.,"REMOVED, CLEANED & INSTALLED #1 & 3 FUEL INJ NOZZLES.",TEST FLIGHT NEEDED FOR UNUSUAL VIBRATION.
100908,TEST FLIGHT NEEDED FOR UNUSUAL VIBRATION.,"REMOVED SPARK PLUGS, LEADS, SIDE BAFFLES, LOWER COUPLIN",TEST FLIGHT NEEDED FOR UNUSUAL VIBRATION.
100908,TEST FLIGHT NEEDED FOR UNUSUAL VIBRATION.,"REMOVED, CLEANED, REINSTALLED #2, 4 FUEL INJ NOZZLES. O",TEST FLIGHT NEEDED FOR UNUSUAL VIBRATION.
100912,CYL #2 INTAKE IS LEAKING.,REMOVED & REPLACED GASKET W/ NEW.,CYLINDER #2 INTAKE IS LEAKING.
100913,NO COMPRESSION ON #4 CYLINDER.,"RAN UP A/C 2ND TIME, COMPRESSIONS ABOUT 20 PSI.",NO COMPRESSION ON #4 CYLINDER.
100913,NO COMPRESSION ON #4 CYLINDER.,STAKED VALVES. COMPRESSION ROSE TO 76/80 AFTER STAKING,NO COMPRESSION ON #4 CYLINDER.
100915,CYL #1 EXT VALVE IS STICKING (40/80).,ATTEMPTED TO STAKE VALVE BUT COMPRESSION REMAINS AT 40/,CYLINDER #1 EXTERNAL VALVE IS STICKING (40/80).
100915,CYL #1 EXT VALVE IS STICKING (40/80).,"RAN A/C, COMPRESSIONS REMAINS LOW. DISASSEMBLED AS REQU",CYLINDER #1 EXTERNAL VALVE IS STICKING (40/80).
100915,CYL #1 EXT VALVE IS STICKING (40/80).,COMPLETED CYLINDER INSTALLATION IAW LYCOMING OVERHAUL M,CYLINDER #1 EXTERNAL VALVE IS STICKING (40/80).
100918,#3 CYL BAFFLE BRACKET RIVETS ARE LOOSE ON BACK SIDE OF BAFFL,"REMOVED BAFFLE, REINSTALLED BRACKET. REINSTALLED BAFFLE",#3 CYLINDER BAFFLE BRACKET RIVETS ARE LOOSE ON BACK SIDE OF BAFFL
100919,CYL #3 ROCKER COVER GASKET LEAKING.,REMOVED & REPLACED ROCKER COVER GASKET. CLEANED LEAKS.,CYLINDER #3 ROCKER COVER GASKET LEAKING.
100920,FRONT RUBBER BAFFLE CHAFING ON STARTER GROUND WIRE.,"REMOVED RUBBER BAFFLE, TRIMMED AS NECESSARY & REINSTALL",FRONT RUBBER BAFFLE CHAFING ON STARTER GROUND WIRE.
100921,OVERSPEED OF 3300 IN FLT.,"COMPRESSIONS: #1-79, #2-74, #3-77, #4-73. C/W REQUIREME",OVERSPEED OF 3300 IN FLIGHT.
100922,"#2, 4 ROCKER COVER GASKETS LEAKING.","REMOVED & REPLACED #2, 4 ROCKER COVER GASKETS.","#2, 4 ROCKER COVER GASKETS LEAKING."
100923,L/H ENGINE #4 INTAKE LEAKING.,REPLACED GASKET.,LEFT ENGINE #4 INTAKE LEAKING.
100924,L/H ENGINE #4 ROCKER COVER LEAKING.,REPLACED GASKET.,LEFT ENGINE #4 ROCKER COVER LEAKING.
100925,R/H ENGINE #4 INTAKE LEAKING.,REMOVED & REPLACED #4 INTAKE GASKET ON R/H ENGINE.,RIGHT ENGINE #4 INTAKE LEAKING.
100926,R/H ENGINE IGNITION LEAD LACING CORE BROKEN TO OIL RIGGED LI,REMOVED DAMAGED LACING CORD.,RIGHT ENGINE IGNITION LEAD LACING CORE BROKEN TO OIL RIGGED LI
100927,CYL #2 INTAKE IS LEAKING.,REPLACED INTAKE GASKET.,CYLINDER #2 INTAKE IS LEAKING.
100928,CYL #2 INTAKE GASKET LEAKING.,REMOVED & REPLACED GASKET W/ NEW.,CYLINDER #2 INTAKE GASKET LEAKING.
100929,RING GEAR TEETH APPEAR TO BE DAMAGED.,DRESSED RING GEAR TEETH.,RING GEAR TEETH APPEAR TO BE DAMAGED.
100930,"CYL #4, 1 ROCKER COVER GASKET LEAKING.","REMOVED & REPLACED CYL #1, 4 ROCKER COVER GASKETS.","CYLINDER #4, 1 ROCKER COVER GASKET LEAKING."
100931,#2 CYL INTAKE GASKET LEAKING.,REMOVED & REPLACED GASKET.,#2 CYLINDER INTAKE GASKET LEAKING.
100932,ROCKER COVER FOR CYL #2 IS LEAKING.,REMOVED & REPLACED ROCKER COVER GASKET.,ROCKER COVER FOR CYLINDER #2 IS LEAKING.
100933,#3 INTAKE GASKET LEAKING.,REMOVED & REPLACED #3 INTAKE GASKET.,#3 INTAKE GASKET LEAKING.
100934,#4 ROCKER COVER GASKET LEAKING.,REMOVED & REPLACED #4 ROCKER COVER GASKET.,#4 ROCKER COVER GASKET LEAKING.
100935,"REAR BAFFLE MOUNT SCREW IS LOOSE, BEHIND DIPSTICK TUBE.","REMOVED DIPSTICK TUBE TO GAIN ACCESS. REMOVED SCREW, IN","REAR BAFFLE MOUNT SCREW IS LOOSE, BEHIND DIPSTICK TUBE."
100936,#2 CYLILNDER ROCKER COVER LEAKING.,REMOVED & REPLACED GASKET.,#2 CYLILNDER ROCKER COVER LEAKING.
100937,#2 CYLINDER INTAKE GASKET LEAKING.,REMOVED & REPLACED GASKET.,#2 CYLINDER INTAKE GASKET LEAKING.
100938,#3 ROCKER COVER LEAKING.,REMOVED & REPLACED #3 ROCKER COVER GASKET.,#3 ROCKER COVER LEAKING.
100939,FRONT R/H BAFFLE SEAL IS NOT ATTACHED.,FOUND SEAL TORN. REMOVED & REPLACED BAFFLE SEAL.,FRONT RIGHT BAFFLE SEAL IS NOT ATTACHED.
100940,ENGINE RAN ROUGH. AFTER RPM'S WERE STAB,"PERFORMED GROUND RUN, OPS CHECKED GOOD. DECOWLED, REMOV",ENGINE RAN ROUGH. AFTER RPM'S WERE STAB
100940,ENGINE RAN ROUGH. AFTER RPM'S WERE STAB,REMOVED & REPLACED #4 PISTON & CYL ASSY IAW LYCOMING DI,ENGINE RAN ROUGH. AFTER RPM'S WERE STAB
100940,ENGINE RAN ROUGH. AFTER RPM'S WERE STAB,"RAN UP A/C, OPS & LEAK CHECK GOOD. ",ENGINE RAN ROUGH. AFTER RPM'S WERE STAB
100943,SCREW MISSING BEHIND #3 BAFFLE.,REPLACED SCREW.,SCREW MISSING BEHIND #3 BAFFLE.
100944,"#2, 4 INTAKES LEAKING.",REMOVED & REPLACED INTAKE GASKETS.,"#2, 4 INTAKES LEAKING."
100945,FWD R/H BAFFLE SEAL IS TORN.,REMOVED & REPLACED BAFFLE SEAL.,FORWARD RIGHT BAFFLE SEAL IS TORN.
100946,#3 CYL INTAKE GASKET IS LEAKING.,REMOVED & REPLACED GASKET.,#3 CYLINDER INTAKE GASKET IS LEAKING.
100947,OIL COOLER STAND OFFS NEED ADJUSTMENT.,ADJUSTED OIL COOLER STAND OFFS.,OIL COOLER STAND OFFS NEED ADJUSTMENT.
100948,"ENG L/H SIDE BAFFLE, MIDDLE MOUNT RIVETS ARE LOOSE.",REPLACED LOOSE RIVETS.,"ENGINE LEFT SIDE BAFFLE, MIDDLE MOUNT RIVETS ARE LOOSE."
100949,L/H AFT BAFFLE CRACKED PAST STOP DRILL.,"STOP DRILLED CRACK, CRACK WAS PREVIOUSLY PATCHED.",LEFT AFT BAFFLE CRACKED PAST STOP DRILL.
100950,"ROCKER COVER GASKETS #2, 3 LEAKING.",REMOVED & REPLACED ROCKER COVER GASKETS.,"ROCKER COVER GASKETS #2, 3 LEAKING."
100951,#2 CYL ROCKER COVER GASKET LEAKING.,REMOVED & REPLACED ROCKER COVER GASKET.,#2 CYLINDER ROCKER COVER GASKET LEAKING.
100952,FULL POWER ONLY RESULTS IN 2640 RPM ON L/H ENGINE & 2600 RPM,"RAN UP A/C, COULD NOT DUPLICATE DISCREPANCY. NO DEFECTS",FULL POWER ONLY RESULTS IN 2640 RPM ON LEFT ENGINE & 2600 RPM
100953,L/H ENG CYL #4 INTAKE IS LEAKING.,REMOVED & REPLACED GASKET.,LEFT ENGINE CYLINDER #4 INTAKE IS LEAKING.
100954,R/H ENG CYL #3 & 4 BAFFLE SEALS NEED TO BE INSTALLED CORRECT,REINSTALLED R/H ENG CYL #3 & 4 BAFFLE SEALS PROPERLY.,RIGHT ENGINE CYLINDER #3 & 4 BAFFLE SEALS NEED TO BE INSTALLED CORRECT
100955,L/H ENG CYL #4 AFT & #2 SIDE BAFFLE SEAL NEEDS TO BE REATTAC,REINSTALLED L/H ENGINE CYL #4 AFT & 2 SIDE BAFFLE SEALS,LEFT ENGINE CYLINDER #4 AFT & #2 SIDE BAFFLE SEAL NEEDS TO BE REATTAC
100956,#2 ROCKER COVER LEAKING.,REMOVED & REPLACED #2 ROCKER COVER GASKET.,#2 ROCKER COVER LEAKING.
100957,AFT R/H BAFFLE SCREW LOOSE.,RESECURED LOOSE BAFFLE SCREW. REMOVED & REPLACED SCREW.,AFT RIGHT BAFFLE SCREW LOOSE.
100958,#4 ROCKER COVER SCREWS LOOSE.,TIGHTENED ALL ROCKER COVER SCREWS.,#4 ROCKER COVER SCREWS LOOSE.
100959,#2 INTAKE GASKET IS LEAKING.,REMOVED & REPLACED GASKET.,#2 INTAKE GASKET IS LEAKING.
100960,#2 CYL ROCKER COVER IS MISSING A SCREW.,INSTALLED NEW SCREW.,#2 CYLINDER ROCKER COVER IS MISSING A SCREW.
100961,R/H ENGINE #2 ROCKER COVER LEAKING.,REPLACED GASKET.,RIGHT ENGINE #2 ROCKER COVER LEAKING.
100962,L/H ENGINE #4 ROCKER COVER IS LEAKING.,REPLACED GASKET.,LEFT ENGINE #4 ROCKER COVER IS LEAKING.
100963,"R/H ENGINE, #2 & 3 INTAKES ARE LEAKING.",REPLACED #2 & 3 GASKETS.,"RIGHT ENGINE, #2 & 3 INTAKES ARE LEAKING."
100964,L/H ENGINE #3 & 4 INTAKES ARE LEAKING.,REPLACED GASKETS ON #3 & 4 INTAKES.,LEFT ENGINE #3 & 4 INTAKES ARE LEAKING.
100965,R/H ENGINE O/B TOP CENTER BAFFLE SEAL IS LOOSE.,TIGHTENED BAFFLE SEAL W/ POP RIVETS.,RIGHT ENGINE O/B TOP CENTER BAFFLE SEAL IS LOOSE.
100966,"L/H ENG, #4 CYL SIDE BAFFLE SEAL IS COMING LOOSE.",RESECURED BAFFLE SEAL.,"LEFT ENGINE, #4 CYLINDER SIDE BAFFLE SEAL IS COMING LOOSE."
100967,"R/H ENG, #3 CYL ROCKER COVER GASKET IS LEAKING.",REMOVED & REPLACED GASKET.,"RIGHT ENGINE, #3 CYLINDER ROCKER COVER GASKET IS LEAKING."
