IDENT,DESAB
101658,REAR BAFFLE BRACKET AT ENGINE CENTER BROKEN AT BOLT.
101659,CYLINDER #2 OIL RETURN LINE WAS DISCONNECTED & FITTING REMOVED.
101660,#2 ROCKER COVER LEAKING.
101661,RIGHT REAR ENGINE BAFFLE SCREW LOOSE.
101662,#3 INTAKE LEAKING.
101663,RIGHT FORWARD ENGINE BAFFLE MISSING PLUG.
101664,#4 INTAKE LEAKING.
101665,#1 ROCKER COVER LEAKING.
101666,"CYLINDER #2, 3 & 4 ROCKER COVER GASKETS LEAKING."
101667,"FAILED OVERRIDE SPEED CHECK, RPM DROPPED TO 800 RPM & STABIL"
101668,"ROCKER COVER GASKETS #2, 3 TORN."
101669,CYLINDER #2 INTAKE GASKET LEAKING.
101670,ENGINE RPM WAS 1700.
101671,RIGHT BAFFLE SUPPORT ROD FOR CYLINDER 1 & 3 BROKEN.
101672,CYLINDER #3 AFT BAFFLE HAS SHEARED RIVET.
101673,#2 & 4 ROCKER COVER GASKETS LEAKING.
101674,"BAFFLE SEAL IS TORN, FORWARD OF #2 CYLINDER ON LEFT & RIGHT ENGINES."
101675,#3 CYLINDER RIGHT ENGINE SHOWS NO EXHAUST GAS TEMPERATURE .
101676,#3 CYLINDER AFT BAFFLE ON LEFT ENGINE IS CRACKED.
101677,#4 INTAKE GASKET LEAKING.
101678,#2 ROCKER COVER LEAKING.
101679,CYLINDER #2 INTAKE GASKET LEAKING.
101680,RIGHT ENGINE #2 INDUCTION TUBE GASKET LEAKING.
101681,"ROCKER COVERS #2, 3 & 4 LEAKING ON RIGHT ENGINE."
101682,#1 & 4 ROCKER COVERS LEAKING ON LEFT ENGINE.
101683,#2 INTAKE LEAKING ON LEFT ENGINE.
101684,#2 & 4 ROCKER COVERS LEAKING ON LEFT ENGINE.
101685,ROCKER COVERS #2 & 4 LEAKING ON RIGHT ENGINE.
101686,#3 CYLINDER ON RIGHT ENGINE HAS LOW COMPRESSION.
101689,CYLINDER #3 LEAKING INTAKE TUBE AT OIL SUMP.
101691,"ROCKER COVER GASKETS CYLINDER #2, 3 & 4 LEAKING."
101692,#2 INTAKE LEAKING.
101693,#4 INTAKE LEAKING.
101694,INTAKE GASKET #4 LEAKING.
101695,FOREIGN OBJECT DAMAGE ON TOP OF ENGINE
101696,#1 INTAKE IS LEAKING.
101697,BAFFLE SPARK PLUG ACCESS PLUG WORN.
101698,#4 INTAKE TUBE LOOSE.
101699,CYLINDER #2 INTAKE GASKET LEAKING.
101700,CYLINDER #2 & 4 ROCKER COVER GASKETS LEAKING.
101701,ALTERANATE AIR DOOR IS WORN.
101702,CYLINDER #1 BAFFLE IS CRACKED.
101703,#4 INTAKE IS LEAKING.
101704,CYLINDER #2 & 3 ROCKER COVER GASKETS LEAKING.
101705,ROCKER COVER GASKET CYLINDER #2 LEAKING.
101706,RIGHT AFT BAFFLE IS CRACKED BY ENGINE MOUNT BOLT HOLE.
101707,CENTER TOP BAFFLE BRACKET IS CRACKED.
101708,#2 INTAKE LEAKING.
101709,ALL ENGINE ROCKER COVER SCREWS LOOSE.
101710,"STARTER WOULD TURN TWICE, THEN CUT OFF DURING START UP."
101711,#4 INTAKE GASKET IS LEAKING.
101712,#4 ROCKER GASKET IS LEAKING.
101713,WORN BAFFLE PLUGS.
101714,ROCKER COVER GASKETS CYLINDER #2 & 4 LEAKING.
101715,#2 ROCKER COVER GASKET LEAKING.
101716,"DURING GO AROUND FROM A SIMULATED ENGINE FAILURE, ENGINE RAN ROUGH"
101717,LEFT ENGINE #4 CYLINDER HAS BAD EXHAUST VALVE.
101718,#3 INTAKE LEAKING ON RIGHT ENGINE.
101719,#1 & 3 ROCKER COVERS LEAKING ON LEFT ENGINE.
101720,LEFT ENGINE #4 CYLINDER HAS BAD EXHAUST VALVE.
101722,"LEFT ENGINE, FIRST STAGE COMPRESSOR ROTOR HAS 1"
101723,CYLINDER #2 TOP BAFFLE SEAL IS  LOOSE.
101724,INTAKE GASKET CYLINDER #3 LEAKING.
101725,ROCKER COVER GASKET CYLINDER #3 LEAKING.
101726,INTAKE TUBE CYLINDER #1 LEAKING AROUND OIL SUMP CONNECTION AREA.
101728,#4 INTAKE GASKET LEAKING.
101729,#3 & 4 ROCKER GASKETS LEAKING.
101730,ENGINE OVERSPEED TO 2730 RPM FOR 1 SECOND.
101731,#2 ROCKER COVER GASKET IS LEAKING.
101732,#2 INTAKE TUBE LEAKING AT SUMP & CYLINDER.
101733,CYLINDER #4 ROCKER COVER GASKET LEAKING.
101735,"CYLINDER #2, 4 INTAKE GASKETS APPEAR TO BE LEAKING."
101736,#4 INTAKE IS LEAKING.
101737,#3 & 2 ROCKER COVERS ARE LEAKING.
101738,HIGH PITCHED SQUEALING NOISE HEARD DURING FLIGHT. 
101739,LOW POWER AVAILABLE. HELO REQUIRED LMP TO HOVER
101740,CYLINDER #4 & 2 ROCKER COVER GASKETS LEAKING.
101741,#1 CYLINDER ROCKER OIL RETURN LINE IS CHAFING.
101743,#2 & 4 ROCKER COVER GASKETS LEAKING.
101744,BAFFLE BUTTON PLUG IS WORN.
101745,#3 ROCKER COVER GASKET IS TORN.
101746,CYLINDER #2 INTAKE GASKET LEAKING.
101747,FORWARD BOTTOM ENGINE BAFFLE SEAL HAS HOLES IN IT.
101748,CYLINDER #3 ROCKER COVER GASKET LEAKING.
101749,#4 ROCKER COVER GASKET LEAKING.
101750,OIL COOLER LOWER BAFFLE SEAL IS MISSING.
101751,#2 ROCKER COVER IS LEAKING.
101752,LEFT ENGINE WILL NOT START.
101753,CYLINDER #1 ROCKER COVER GASKET LEAKING.
101754,#2 INTAKE LEAKING.
101755,#1 & 2 ROCKER COVERS LEAKING.
101756,ENGINE DIED AFTER LANDING.
101757,ENGINE HAD MOMENTARY OVERSPEED TO 2770 RPM.
101758,#2 CYLINDER ROCKER COVER SCREW IS MISSING.
101759,#1 ROCKER COVER GASKET LEAKING.
101760,INTAKE GASKET CYLINDER #2 LEAKING.
101761,ROCKER COVER GASKET CYLINDER #2 LEAKING.
101762,#3 INTAKE GASKET LEAKING.
101763,#3 INTAKE LEAKING.
101764,RIGHT BAFFLE SAFETY WIRE BROKEN.
101765,LEFT BAFFLE BUTTON PLUG IS BROKEN.
101766,#2 INTAKE LEAKING.
101767,"CYLINDER #1, 3, 4 ROCKER COVERS ARE LEAKING."
101768,CASE HALVES LEAKING ON BOTTOM FORWARD PORTION.
101769,#1 INTAKE IS LEAKING.
101770,LEFT I/B BAFFLE SPRING IS BRKOEN.
101771,ROCKER COVER GASKET CYLINDER #2 LEAKING.
101772,"INTAKE GASKET, CYLINDER #2, LEAKING."
101773,CYLINDER #4 INTAKE GASKET IS LEAKING.
101774,#2 & 4 INTAKES ARE LEAKING ON LEFT ENGINE.
101775,RIGHT ENGINE CYLINDER #4 AFT BAFFLE BRACKET CRACKED.
101776,RIGHT ENGINE CYLINDER #3 INTAKE GASKET LEAKING.
101777,"LEFT ENGINE, CYLINDER #2 ROCKER COVER LEAKING."
101778,"LEFT ENGINE ROCKER COVER GASKETS, CYLINDER 3, LEAKING."
101779,RIGHT ENGINE CYLINDER #3 ROCKER COVER GASKET LEAKING.
101780,#2 INDUCTION TUBE GASKET LEAKING.
101781,PARTICLE SEPERATOR HAS GRASS IN IT.
101782,CYLINDER #4 INTAKE IS LEAKING.
101783,FORWARD LOWER ENGINE BAFFLE CRACKED.
101784,RIGHT ENGINE SIDE BAFFLE CRACKED.
101785,CYLINDER #2 ROCKER COVER GASKET LEAKING.
101786,FORWARD BAFFLE NEAR ALTERNATOR IS CRACKED.
101787,BOTH ENGINE BAFFLE BUTTONS WORN.
101788,ALL ROCKER COVER SCREWS LOOSE & 1 MISSING.
101789,CYLINDER #4 INTAKE IS LEAKING.
101790,"DURING CRUISE, ENGINE BECAME INCREDIBLY ROUGH. ENGINE CONTIN"
101793,#3 INTAKE LEAKING.
101794,BOTH BAFFLE PLUGS WORN.
101795,RIGHT AFT BAFFLE CRACKED.
101796,ROCKER COVER GASKET CYLINDER #1 LEAKING.
101797,#4 ROCKER COVER GASKET LEAKING.
101799,SCREW MISSING ON #4 ROCKER COVER.
101800,#4 INTAKE LEAKING.
101801,LEFT BAFFLE PLUG LOCK TABS MISSING.
101802,#3 ROCKER COVER IS LEAKING.
101803,#2 INTAKE LEAKING.
101804,RIGHT FORWARD ENGINE BAFFLE SEAL LOOSE.
101805,#2 INDUCTION TUBE GASKET LEAKING.
101806,RIGHT REAR ENGINE BAFFLE SUPPORT BRACKET RIVETS BROKEN.
101807,#2 & 4 INTAKES LEAKING.
101808,#3 INTAKE LEAKING ON RIGHT ENGINE.
101809,"INTAKES 2, 3 & 4 LEAKING ON LEFT ENGINE."
101810,LOWER LEFT FORWARD BAFFLE SEAL IS LOOSE.
101811,"CLIMBING AFTER TAKEOFF, ENGINE CHOKED & BACK FIRED."
101812,LOWER FRONT ENGINE CASE HALF SEAM IS LEAKING.
101814,#4 INTAKE TUBE LEAKING.
101815,#1 ROCKER COVER LEAKING.
101816,LEFT IDLER GEAR HAS SPALLING ON FUEL PUMP CAM.
101818,CYLINDER #2 ROCKER COVER GASKET LEAKING.
101819,#4 INTAKE LEAKING.
101820,#2 ROCKER COVER LEAKING.
101821,#2 INTAKE LEAKING.
101823,#1 ROCKER COVER LEAKING.
101824,ROCKER COVER GASKETS #3 & 2 ARE LEAKING.
101825,CYLINDER #4 AFT BAFFLE CRACKED.
101826,LEFT ENGINE BAFFLE PLUG DAMAGED.
101827,RIGHT #4 INTAKE GASKET IS LEAKING.
101828,"CYLINDER #2, 3, & 4 ROCKER COVER GASKETS LEAKING."
101829,CYLINDER #2 INTAKE GASKET LEAKING.
101830,ROCKER COVER GASKET CYLINDER #4 LEAKING.
101831,#1 & 3 ROCKER COVERS LEAKING.
101832,#2 & 4 ROCKER COVERS LEAKING.
101833,BOLT MISSING FROM #4 CYLINDER HEAD.
101835,#2 & 3 INTAKE LEAKING.
101836,#2 ROCKER COVER LEAKING.
101837,#2 INDUCTION TUBE GASKET LEAKING.
101838,#4 INDUCTION TUBE GASKET LEAKING.
101839,RIGHT ENGINE REACHED 2770 RPM ON TAKE OFF.
101840,#4 INTAKE GASKET LEAKING.
101841,SCREW MISSING ON #2 ROCKER COVER.
101842,#3 & 4 ROCKER COVER LEAKING.
101843,#3 & 1 CYLINDER INTAKE GASKETS LEAKING.
101844,CRACK IN FORWARD BAFFLE CENTER.
101845,FORWARD LOWER BAFFLE SEAL LOOSE.
101846,CYLINDER #2 INTAKE GASKET LEAKING.
101847,ROCKER COVER GASKETS CYLINDER #1 & 2 LEAKING.
101848,FORWARD LEFT ENGINE BAFFLE CRACKED FROM HEAT AIR INTAKE DOWN.
101849,#2 ROCKER COVER GASKET LEAKING.
101850,ROCKER COVER GASKET FROM CYLINDER #2 LEAKING.
101851,OIL COOLER HAS A GAP FROM COWLING & BOX ON BOTTOM.
101852,EXHAUST GAS TEMPERATURE  CYLINDER #1 CLAMP LOOSE.
101853,#3 ROCKER COVER LEAKING.
101854,#2 & 4 ROCKER COVER LEAKING.
101855,#4 ROCKER COVER GASKET TORN.
101856,#4 INTAKE LEAKING.
101857,LEFT ENGINE BAFFLE SEAL RIVETS LOOSE.
101858,RIGHT REAR ENGINE BAFFLE MOUNTING SCREW MISSING & BRACKET RIVE
101859,INTAKE GASKETS #1 & 3 LEAKING.
101860,CYLINDER #4 BAFFLE PLUG TEETH ARE BROKEN.
101861,"ROCKER COVER GASKETS ON CYLINDER #3, 4 LEAKING."
101862,#3 INTAKE GASKET IS LEAKING.
101863,#1 SIDE BAFFLE CRACKED.
101864,#3 & 4 ROCKER GASKETS LEAKING.
101865,#4 INTAKE TUBE LEAKING.
101866,#3 INTAKE LEAKING ON RIGHT ENGINE.
101867,HARDWARE MISSING ON LEFT ENGINE #2 CYLINDER.
101868,INTAKES 2 & 4 LEAKING ON RIGHT ENGINE.
101869,MUFFLER HEAT MUFF CRACKED.
101870,FAILS MIXTURE CHECK - NO RPM RISE.
101871,INTAKE GASKETS CYLINDER #2 & 4 LEAKING.
101872,#4 INTAKE GASKET LEAKING.
101873,#2 INDUCTION TUBE GASKET LEAKING.
101874,BOTH BAFFLE PLUGS BAD.
101875,#3 ROCKER COVER LEAKING.
101876,ROCKER COVER GASKET FROM CYLINDER #2 LEAKING.
101877,#3 INDUCTION TUBE GASKET LEAKING.
101878,RIGHT REAR ENGINE BAFFLE MOUNTING SCREW MISSING.
101879,"RAN SMOOTHLY AFTER ENGINE START LEAN PROCEDURE, THEN RAN VER"
101882,#3 AFT BAFFLE CRACKED.
101883,#2 & 3 INTAKE GASKETS LEAKING.
101884,RIGHT & LEFT VALVE COVERS LEAKING.
101885,LEFT ENGINE OIL COOLER TO ENGINE LIFTING EYE BRACKET BROKEN.
101886,RIGHT ENGINE LIFTING EYE BOLT LEAKING OIL.
101887,#2 INTAKE LEAKING.
101888,RIGHT ENGINE #4 CYLINDER BAFFLE BRACE NEEDS TO BE REMOVED FOR CAN O
101890,AUTO RELIGHT DEFERRED.
101891,LEFT ENGINE WOULD NOT START. ATTEMPTED NORMAL & FLOODED.
101892,LEFT BAFFLE PLUG DAMAGED.
101893,CYLINDER #2 BAFFLE SCREW IS MISSING.
101894,ENGINE HESITATION/ROUGHNESS 30 SECOND AFTER TAKEOFF. NO FURTHER
101895,ALL VALVE COVERS LEAKING.
101896,#2 & 4 INTAKES LEAKING.
101897,CYLINDER #2 & 3 ROCKER COVERS ARE LEAKING.
101898,#3 INDUCTION TUBE GASKET LEAKING.
101899,#2 & 4 INTAKE GASKETS ARE LEAKING.
101900,"LEAKING INTAKE GASKET, CYLINDER #2."
101901,"LEAKING ROCKER COVER GASKET, CYLINDER #4."
101902,ENGINE RPM OF 2720.
101903,CYLINDER #3 ROCKER COVER GASKET IS LEAKING.
101904,CRANKSHAFT SEAL APPEARS TO BE LEAKING.
101907,CYLINDER #2 & 4 INTAKE GASKETS LEAKING.
101908,"CYLINDER #3 AFT BAFFLE SCREW IS TIGHT, BUT BAFFLE IS LOOSE."
101909,CYLINDER #4 INTAKE GASKET LEAKING.
101910,"ROCKER COVER GASKETS LEAKING, CYLINDER #2 & 3."
101911,#4 INTAKE LEAKING.
101912,#2 & 4 INTAKES LEAKING.
101913,ENGINE BAFFLE PLUGS BAD.
101914,RIGHT REAR ENGINE BAFFLE MOUNT SCREW LOOSE.
101915,LEFT BAFFLE TIE BROKEN.
101916,"CYLINDER #2, 3 ROCKER COVER GASKETS LEAKING."
101917,CENTER AFT ENGINE BAFFLE CRACKED.
101918,#4 INTAKE GASKET LEAKING.
101919,#2 INTAKE GASKET IS LEAKING.
101920,#2 CYLINDER COMPERSSION READING LOW.
101921,"#1, 2 & 4 INTAKES LEAKING."
101922,#4 INTAKE GASKET LEAKING.
101923,#2 & 4 CYLINDER ROCKER COVER SCREWS ARE LOOSE.
101924,LEFT BAFFLE PLUG HOLE IS ELONGATED.
101925,CYLINDER #2 INTAKE GASKET IS LEAKING.
101926,CYLINDER #3 ROCKER COVER GASKET LEAKING.
101927,#2 & 4 ROCKER COVER GASKETS ARE LEAKING.
101928,#2 CYLINDER INTAKE LEAKS.
101929,#1 CYLINDER HAS LOW COMPRESSION.
101931,"INTAKE 2, 3 & 4 LEAKING."
101932,ENGINE BAFFLE PLUGS DAMAGED.
101933,#1 CYLINDER HAS LOW COMPRESSION.
101936,CYLINDER #1 & 3 SIDE BAFFLE IS CRACKED.
101937,CYLINDER #2 EXHAUST TUBE ELBOW TOP BOLT NEEDS TO BE RECOTTER PINN
101938,CYLINDER #1 ROCKER COVER GASKET LEAKING.
101939,"ROCKER COVER GASKETS, CYLINDER #2 & 4, LEAKING."
101940,AFT BAFFLE SUPPORT CYLINDER #3 HAS SHEARED RIVET.
101941,"BAFFLING CRACKED, RIGHT ENGINE BY #4 CYLINDER."
101942,CYLINDER #3 ROCKER COVER GASKET LEAKING.
101943,LEFT COOLING BAFFLE CONNECTING ROD BROKEN.
101944,RIGHT CYLINDER COOLING BAFFLE CONTACTING OIL RETURN LINE.
101945,CYLINDER #2 INTAKE GASKET LEAKING.
101946,"CYLINDER #2, 4 ROCKER COVER GASKETS LEAKING."
101947,FORWARD CENTER ENGINE BAFFLE CRACKED.
101948,"CYLINDER #2, 3 & 4 ROCKER COVER GASKETS LEAKING."
101949,#2 ROCKER COVER LEAKING.
101950,HARDWARE MISSING ON RIGHT REAR BAFFLE.
101951,#2 INDUCTION TUBE GASKET LEAKING.
101952,RIGHT BAFFLE SEAL BY PROP GOVERNOR LOOSE.
101953,#2 & 4 INTAKE LEAKING.
101954,INTAKE GASKET CYLINDER #4 LEAKING.
101955,INTAKE GASKETS CYLINDER #1 & 3 LEAKING.
101956,"ROCKER COVER GASKETS CYLINDER #3, 4, 1 LEAKING."
101957,RIGHT AFT BAFFLING RIVETS SHEARED.
101958,#3 CYLINDER LOWER SPARK PLUG BOSS THREADS DAMAGED.
101959,RIGHT BAFFLE PLUG WORN.
101960,LEFT FORWARD BAFFLE IS CRACKED.
101961,LEFT FORWARD ENGINE BAFFLE CRACKED AT CORNER.
101962,#2 INTAKE GASKET LEAKING.
101963,#4 BOTTOM ROCKER COVER SCREW WON'T TIGHTEN.
101964,#2 & 3 INTAKES LEAKING ON LEFT ENGINE.
101965,#1 INTAKE TUBE DAMAGED.
101966,#4 INTAKE LEAKING ON LEFT ENGINE.
101967,"#3 INTAKE LEAKING ON LEFT ENGINE, ALONG W/ #2."
101968,"INTAKES 2, 3 & 4 LEAKING."
101969,#2 INTAKE GASKET LEAKING.
101970,ROCKER COVER GASKET #1 LEAKING.
101971,FORWARD LOWER ENGINE BAFFLE SEAL LOOSE.
101972,#2 & 4 INTAKES ON RIGHT ENGINE LEAKING.
101973,CYLINDER #2 INTAKE GASKET IS LEAKING.
101974,RIGHT BAFFLE PLUG IS MISSING.
101975,LEFT & RIGHT BAFFLE PLUGS HAVE SEVERAL BROKEN FINGERS.
101976,BAFFLE PLUG WORN.
101977,ROCKER COVER GASKETS #2 & 3 LEAKING.
101978,LEFT ENGINE BAFFLE SCREW MISSING.
101979,RIGHT ENGINE BAFFLE #2 & 4 CROSSTIE BROKEN.
101980,"RIGHT ENGINE #2, 3 & 4 ROCKER BOX COVERS LEAKING."
101981,CYLINDER #3 ROCKER COVER GASKET LEAKING.
101982,RIGHT AFT COOLING BAFFLING RIVETS SHEARED.
101983,CYLINDER #3 ROCKER COVER GASKET LEAKING.
101984,BAFFLE PLUGS HAVE BROKEN FINGERS.
101985,"CYLINDER #2, 4 ROCKER COVER GASKETS LEAKING."
101986,#4 BAFFLE CRACKED IN FRONT OF OIL COOLER.
101987,CYLINDER #2 & 3 ROCKER COVER GASKETS LEAKING.
101988,#4 INTAKE LEAKING ON RIGHT ENGINE.
101989,#2 & 4 INTAKES LEAKING ON LEFT ENGINE.
101990,#2 ROCKER COVER LEAKING ON RIGHT ENGINE.
101991,#3 ROCKER COVER LEAKING ON LEFT ENGINE.
101992,RIGHT PROP SHAFT SEAL SEEPING.
101994,CYLINDER #3 ROCKER COVER GASKET LEAKING.
101995,CYLINDER #2 INTAKE GASKET LEAKING.
101996,LEFT BAFFLE PLUG MISSING TEETH.
101997,#2 & 4 INTAKE GASKETS ARE LEAKING.
101998,#3 ROCKER COVER GASKET LEAKING.
101999,CYLINDER #1 INTAKE GASKET IS ELAKING.
102000,LEFT I/B BAFFLE SPRING IS BROKEN.
102001,CYLINDER #1 ROCKER COVER GASKET LEAKING.
102002,ENGINE FAILURE WHILE HOLDING SHORT. THROTTLE WAS IDLE.
102003,CYLINDER #4 INTAKE GASKET IS LEAKING.
102004,CYLINDER #4 HAS LOW COMPRESSION.
102005,#2 INTAKE GASKET LEAKS.
102006,#2 ROCKER COVER LEAKS.
102007,#4 INTAKE LEAKING.
102008,ALL ROCKER COVERS HAVE LOOSE SCREWS.
102009,RIVET SHEARED @ RIGHT AFT BAFFLE.
102011,"ROCKER COVERS 2, 3 & 4 LEAKING."
102012,#4 INTAKE GASKET LEAKING.
102013,LEFT #3 ROCKER COVER LEAKING.
102014,#2 ENGINE LEFT REAR BAFFLE CRACKED @ INTER-CYLINDER CONNECT
102015,#2 ROCKER GASKET IS LEAKING.
102016,#1 & 3 BAFFLE TIE WIRE LOOSE.
102017,#2 & 4 INTAKE GASKETS ARE LEAKING.
102018,BOLT MISSING CONNECTING UPPER ENDS OF #3 & 4 AFT BAFFLES.
102019,RIGHT REAR ENGINE BAFFLE MOUNTING SCREW LOOSE.
102020,CRACKED FRONT UPPER RIGHT SIDE ENGINE BAFFLE ON #1 CYLINDER.
102021,#4 ROCKER GASKET IS LEAKING.
102022,"ON APPROACH, ENGINE ROUGHNESS ABOUT 7 - 10 SECS. ADJUSTED MAGNETIC INDICATOR"
102024,"PERFORMING GROUND REF MANUAL, THROTTLE WAS AT 1600 RPM, THROTTL"
102030,ENGINE COWL DZUS FASTENERS NEED RETAINERS.
102031,"RIGHT ENGINE SHUT DOWN ON LANDING, WAS ABLE TO RESTART & TAXI"
102032,#2 INTAKE ON RIGHT ENGINE LEAKING.
102033,RIGHT ENGINE #3 ROCKER COVER LEAKING.
102034,#2 & 4 ROCKER COVER ON RIGHT ENGINE LEAKING.
102035,LEFT ENGINE #3 ROCKER COVER LEAKING.
102036,ENGINE STARTED & SEEMED TO BE RUNNING FINE. SUDDENLY ENGINE
102040,RIGHT ENGINE #3 CYLINDER INTAKE GASKET IS LEAKING.
102041,RIGHT ENGINE #4 CYLINDER INTAKE GASKET IS LEAKING.
102042,#4 CYLINDER SIDE BAFFLE ON LEFT ENGINE IS MISSING A BOLT.
102043,"LEFT ENGINE, RIGHT FORWARD BAFFLE SEAL IS LOOSE."
102044,LEFT ENGINE #1 CYLINDER INTAKE LEAKS.
102045,LEFT ENGINE #3 CYLINDER COMPRESSION IS LOW.
102049,"RIGHT ENGINE #1 CYLINDER INTAKE GASKET LEAKING, ALONG W/ #2 & 4."
102050,#2 & 4 ROCKER COVERS LEAKING ON LEFT ENGINE.
102051,ALL 4 VALVE COVERS LEAKING ON RIGHT ENGINE.
102052,LEFT BAFFLE PLUG IS WORN.
102053,CRACK ON OIL COOLER FLANGE.
102054,INTAKES 1 & 3 LEAKING.
102055,CYLINDER #4 ROCKER COVER GASKET IS LEAKING.
102056,CYLINDER #1 & 3 BOTTOM BAFFLE IS CRACKED @ TIE ROD.
102057,#3 CYLINDER ROCKER BOX COVER SCREW MISSING.
102058,#4 INTAKE LEAKING @ OIL SUMP.
102060,CYLINDER #2 INTAKE GASKET IS LEAKING.
102061,INTAKE GASKET CYLINDER #2 LEAKING.
102062,ROCKER COVER GASKETS CYLINDER #2 & 4 LEAKING.
102063,AFT ENGINE BAFFLE WORN FROM RUBBING.
102064,#1 CYLINDER BAFFLE NOT BEHIND CYLINDER NUT - INCORRECT INSTALL.
102065,#2 ROCKER COVER LEAKING.
102066,LEFT ENGINE #3 INTAKE IS LEAKING.
102067,RIGHT ENGINE #3 INTAKE IS LEAKING.
102068,LEFT ENGINE #3 ROCKER COVER IS LEAKING.
102069,SCREW MISSING IN #3 SIDE BAFFLE.
102070,#3 ROCKER COVER GASKET LEAKING.
102071,#2 ROCKER COVER LEAKING.
102072,"COOLING BAFFLE ATTACHMENT BRACKET, BEHIND OIL FILL TUBE, IS"
102073,ENGINE COOLING BAFFLE SEAL LOOSE ON TOP LEFT SIDE.
102074,"COOLING BAFFLE ATTACHMENT BRACKET, BEHIND OIL FILL TUBE, IS"
102075,#1 ROCKER GASKET SEEPING.
102076,CYLINDER #4 ROCKER COVER GASKET LEAKING.
102077,#1 INTAKE GASKET TORN.
102078,#1 & 3 ROCKER GASKETS LEAKING.
102079,#4 ROCKER GASKET LEAKING.
102080,#3 PUSH ROD SEALS LEAKING.
102081,#2 INTAKE IS LEAKING.
102082,#4 ROCKER COVER IS LEAKING.
102083,#1 INTAKE IS LEAKING AT OIL SUMP.
102084,#4 INTAKE GASKET LEAKING.
102085,#4 ROCKER COVER GASKET LEAKING.
102086,#2 ROCKER COVER GASKET SEEPING.
102087,"ROCKER COVER GASKET, ON CYLINDER #3, LEAKING."
102088,CYLINDER #2 INTAKE GASKET LEAKING.
102089,THROTTLE LINKAGE @ SERVO IS SLOPPY.
102090,CYLINDER #1 & 3 SIDE BAFFLE BOLT IS LOOSE.
102091,ENGINE AFT RIGHT GROUND STRAP NEEDS TO BE SECURED.
102092,CYLINDER #1 & 3 BOTTOM BAFFLE IS CRACKED.
102093,RIGHT ENGINE #2 & 4 SIDE BAFFLE SEALS ARE TORN.
102094,RIGHT ENGINE #2 & 4 INTAKE GASKETS ARE LEAKING.
102095,"#2 & 4 INTAKE GASKETS ARE LEAKING, LEFT ENGINE."
102096,"#2, 3 & 4 ROCKER GASKETS ARE LEAKING, LEFT ENGINE."
102097,RIGHT ENGINE #2 & 3 ROCKER GASKETS ARE LEAKING.
102098,SCREW BEHIND OIL FILLER TUBE LOOSE.
102100,SPARK PLUG CAP LOOSE ON #3 BOTTOM SPARK PLUG.
102101,LEFT ENGINE #3 & 4 INTAKES ARE LEAKING.
102102,LEFT ENGINE #3 & 4 ROCKER COVERS ARE LEAKING.
102103,"RIGHT ENGINE CYLINDER #2, 3, 4 INTAKE GASKETS LEAKING."
102104,TOOL ON TOP OF ENGINE BETWEEN CYLINDERS
102105,#3 CYLINDER BAFFLE IS MISSING SCREW ON BRACKET.
102106,CYLINDER #2 ROCKER COVER GASKET DAMAGED.
102107,#2 INTAKE LEAKING.
102108,LEFT ENGINE #3 BAFFLE (AFT) SEAL LOOSE.
102109,#2 & 4 SIDE BAFFLE SEALS TORN ON RIGHT ENGINE.
102110,#1 INDUCTION TUBE GASKET LEAKING.
102111,BOTH LEFT & RIGHT BAFFLE PLUGS WORN.
102112,BROKEN ANCHOR ASSEMBLY ON #1 CYLINDER.
102113,#2 CYLINDER FORWARD BAFFLE CRACKED.
102114,CYLINDER #2 INTAKE GASKET LEAKING.
102115,#2 & 3 ROCKER GASKETS LEAKING.
102116,#3 & 4 INTAKE GASKETS ARE LEAKING.
102117,RIGHT ENGINE #2 STACK BROKEN OFF.
102118,INTAKE GASKET #4 IS LEAKING.
102119,#2 & 4 ROCKER COVER GASKETS LEAKING.
102120,"SCREW MISSING ON ENGINE COOLING BAFFLE, RIGHT SIDE NEXT TO OIL"
102121,"DURING HIGH SPEED ROLL, A/C HAD STRONG VIBRATION."
102122,#2 & 3 INTAKE GASKETS LEAKING.
102123,"AFTER 20"" MANIFOLD PRESSURE, APPLIED FULL THROTTLE, STARTED"
102124,#2 INTAKE LEAKING.
102125,#4 & 2 INDUCTION TUBE GASKET LEAKING.
102126,"CYLINDER #2, 3, 4 INTAKE GASKETS LEAKING."
102127,"CYLINDER #2, 3, 4 ROCKER COVER GASKETS LEAKING."
102128,CYLINDER #4 INTAKE GASKET IS LEAKING.
102129,CYLINDER #1 WIRING HARNESS SUPPORT BRACKET IS BROKEN.
102130,AIR INDUCTION ELBOW TO SERVO BOOT IS WEEPING FUEL.
102131,#3 CYLINDER ROCKER GASKET SEEPING.
102132,#2 INTAKE GASKET LEAKING.
102133,"#1, 3 & 4 ROCKER COVERS LEAKING."
102134,#2 INTAKE LEAKING.
102135,#2 INDUCTION TUBE GASKET LEAKING.
102136,#2 INTAKE LEAKING.
102137,2 BAFFLE PLUGS NEEDS TO BE REPLACED.
102138,#2 SIDE BAFFLE SEAL STAPLES LOOSE.
102139,#2 & 4 ROCKER GASKETS LEAKING.
102140,ENGINE COULD NOT START.
102141,#3 INTAKE LEAKING.
102142,#3 ROCKER COVER LEAKING.
102143,#4 CYLINDER COMPRESSION 15/80.
102147,CYLINDER #2 INTAKE GASKET LEAKING.
102148,COWL SHOCK MOUNT #7 DAMAGED.
