Grupo,Frase,Tipo
657,Worn baffle seals were found on the right side of engines 1 and 4.,var
657,The #4 and #3 side baffle seals are showing wear.,var
665,Oil is leaking from the middle section of the left engine backbone.,var
665,Found oil seeping out of the center of the right engine backbone.,var
665,Leak detected at the mid-point of the engine backbone on the port side.,var
665,Middle area of the #2 engine backbone shows an oil leak.,var
667,The battery box bracket was found cracked during inspection.,var
667,A crack was observed in the bracket that secures the battery box.,var
667,The support bracket for the battery box has a fracture and requires attention.,var
667,Found the battery mount bracket split—needs repair or replacement.,var
675,Right forward baffle material is loose and needs securing.,var
675,The forward baffle skin on the left side was found loose and flapping.,var
675,Found loose material on the front baffle (right) during inspection.,var
675,Front baffle material not secure on the right — requires repair.,var
680,The inter-baffle rod fastener is broken.,var
680,Found the inter baffle rod fastener snapped during inspection.,var
680,Fastener securing the inter-baffle rod has failed.,var
680,The interbaffle rod retaining fastener fractured and needs replacement.,var
681,Inspection found the spring connector between the #1 and #3 cylinder baffles is broken.,var
681,The spring clip holding the #3 and #1 cylinder baffles together has snapped.,var
681,Found a fractured spring connector between the #2 and #4 cylinder baffles.,var
681,Repair item: broken spring connector joining the #1 and #2 cylinder baffles.,var
692,Intake on cylinder No. 2 feels loose.,var
692,The intake on the left cylinder 4 was found loose during inspection.,var
692,Found the intake assembly on cylinder 1 to be loose.,var
692,The intake on right cylinder 3 seems loose.,var
703,The front engine oil seal is leaking.,var
703,Observed oil seepage from the forward engine oil seal during inspection.,var
703,Oil is coming from the engine’s front seal.,var
703,"Found a leak at the front seal of the engine, oil present.",var
710,Cracks were found in the forward right baffle.,var
710,Inspection revealed cracking in the forward left baffle.,var
710,The forward right-side baffle shows multiple cracks.,var
710,Cracks observed in the forward baffle at station #1 on the left side.,var
715,The right baffle plug is loose.,var
715,Found the left baffle plug loose during inspection.,var
715,No. 2 baffle plug observed loose; secure it.,var
715,Baffle plug on the #1 side is loose.,var
718,Engine quit at idle — low RPM while taxiing after small throttle adjustments.,var
718,"While taxiing, the engine died at low idle following minor adjustments.",var
718,The engine shut down at idle/low RPM during taxi when small tweaks were made.,var
718,"During taxi, small control changes caused the engine to lose power and quit at idle.",var
721,A screw is missing from the #2 outer cylinder baffling.,var
721,Noticed the outer cylinder baffling on #1 has a missing screw.,var
721,Missing fastener on the outer baffling of the #3 cylinder.,var
721,Outer cylinder baffling on #4 is lacking a screw.,var
726,A doubler is required at the inspection hole in the No. 4 cylinder baffle.,var
726,Install a doubler over the insp hole on the No. 3 cylinder baffle — it’s needed.,var
726,Inspection-hole doubler required for the baffle on cylinder No. 2.,var
726,The baffle inspection opening of cylinder 1 needs a reinforcement doubler.,var
731,The cowl seal above the #3 cylinder baffle detached from its rivet.,var
731,Found the cowl seal over the #2 cylinder baffle pulled off the rivet.,var
731,Cowl seal above the left #4 cylinder baffle fell off the rivet.,var
731,Rivet loosened and the cowl seal above the right #1 cylinder baffle came off.,var
736,Found a broken cover screw on the ground beneath the aircraft.,var
736,A fractured cover screw was discovered lying on the ramp.,var
736,"During the walk‑around, a snapped cover screw was observed on the tarmac.",var
736,Ground crew located a broken screw from the cover on the pavement.,var
739,"During run-up the magnetos ran rough and readings were out of tolerance, so the fouled-spark procedure was performed.",var
739,At engine run-up the mags were rough and not within limits — I ran the fouled plugs procedure.,var
739,Run-up check showed rough magnetos and tolerance exceedance; fouled procedure executed.,var
739,"During the run-up both magnetos operated rough and failed to meet tolerances, then the fouled-proc was carried out.",var
742,The aft baffle screw on engine #2 appears to be loose behind the dipstick tube.,var
742,Looks like the aft baffle screw behind the dipstick tube on engine #3 is coming loose.,var
742,Found the aft baffle screw behind the dipstick tube on engine #4; it seems loose.,var
742,Aft baffle screw behind the dipstick tube on engine #1 appears loose.,var
747,The forward lower seal on the baffling at the air intake is worn and should be replaced.,var
747,The front-bottom baffle seal by the air inlet is showing wear.,var
747,Worn forward lower baffle seal located at the intake—inspect and service.,var
747,The lower seal on the forward baffling at the engine air intake has degraded.,var
759,No. 1 first-stage compressor blade shows damage near the tip.,var
759,Found damage by the tip of a first stage compressor blade on engine 2.,var
759,A first-stage compressor blade on engine #3 has tip-area damage.,var
759,Damage was observed close to the tip of a first stage compressor blade on engine one.,var
761,Both engine firewalls (right and left) require sealing where the engine control cables pass through.,var
761,"Seal the left engine firewall where the engine control goes through, and do the same on the right firewall.",var
761,The #2 and #1 engine firewall penetrations for the engine control need to be sealed.,var
761,Need to apply seals at the firewall penetrations for engine control on both left and right engines.,var
765,The grommet on the oil pressure switch wire harness is chafed through and damaged.,var
765,Damaged grommet for the oil pressure switch wiring — insulation worn through.,var
765,The grommet protecting the oil pressure switch harness has been worn completely through and needs replacement.,var
765,Found the oil pressure switch wire-harness grommet torn through; wiring protection is compromised.,var
767,"During cruise, RPM oversped; highest number seen was 2745 rpm.",var
767,While cruising the engine oversped — peaked around 2735 rpm.,var
767,"Cruise phase: RPM exceeded limits, maximum observed 2750 rpm.",var
767,"In cruise, experienced an RPM overspeed with a peak reading of 2700 rpm.",var
771,The forward baffle seal is worn at the location beside the air filter.,var
771,Found wear on the front baffle seal next to the air filter during inspection.,var
771,Worn seal on the forward baffle adjacent to the air filter.,var
771,"The seal at the forward baffle, by the air filter, shows signs of wear.",var
772,An oil leak was observed at the forward lower section of the crankcase adjacent to the oil seal.,var
772,There’s oil coming from the lower front of the crankcase right next to the oil seal.,var
772,Oil leak at the front-lower area of the crankcase near the oil seal.,var
772,Found oil seeping from the front lower portion of the engine crankcase by the oil seal.,var
798,Several rocker cover screws were found loose during the inspection.,var
798,A few screws holding the rocker cover are loose.,var
798,Found loose screws on the rocker cover.,var
798,Some of the fasteners securing the rocker cover were loose.,var
802,"Cylinder #2 has low compression — 25 lbs, leaking from the exhaust port.",var
802,"Low compression on cylinder #1, roughly 30 lbs, with the leak coming out the exhaust side.",var
802,"Recorded low compression on #3 cylinder: about 25 lbs, loss originating at the exhaust outlet.",var
802,"Cylinder #1 shows low compression — 20 lbs reading, escaping through the exhaust.",var
810,Pilot reported the forward baffle seal on cylinder #1 needs to be inspected.,var
810,Pilot said the forward baffle seal on cylinder #2 should be checked.,var
810,Pilot noted the forward baffle seal at cylinder 1 requires attention.,var
810,Pilot advised the forward baffle seal for cylinder #3 needs a look.,var
826,Left engine No. 4 rear baffle has a small crack and the baffle seal is torn.,var
826,"Found a small crack in the rear baffle on the right engine #3, and the baffle seal is ripped.",var
826,Rear baffle on engine #5 (left side) shows a minor crack with the baffle seal torn.,var
826,Inspect left engine #2 rear baffle — small crack observed and baffle seal damaged.,var
853,During run-up the magneto check failed; the fouled-plug procedure was attempted but RPM was not restored.,var
853,Mag check failed on the run-up — tried the fouled-plug fix and the RPM still wouldn’t come back up.,var
853,Failed magnetos check at run-up. Fouled plug procedure carried out; RPM remained abnormal.,var
853,Magnetos did not pass the run-up test; performed the fouled-plug procedure and RPM did not return to normal.,var
891,Suspected oil leak detected at the vacuum pump.,var
891,Looks like the vacuum pump is leaking oil.,var
891,Vacuum pump may have an oil seepage.,var
891,Found possible oil leakage from the vacuum pump during inspection.,var
893,Right upper baffling between cylinders #1 and #3 has a worn staple.,var
893,I found a worn staple in the left upper baffle between cylinders 2 and 4.,var
893,"Upper baffling on the right, between #3 and #1 cylinders, shows a worn staple.",var
893,Left-side upper baffle between cylinders #2 and #3 contains a frayed staple.,var
896,Found a wrench by the accessory case during inspection.,var
896,A wrench was located adjacent to the accessory case.,var
896,Spanner observed next to the accessory gearbox.,var
896,Loose wrench found beside the accessory case.,var
902,Baffle tie-wires are not secured.,var
902,The baffle tie-wires were found loose and not fastened properly.,var
902,Inspection revealed unsecured baffle tie wires.,var
902,Secure the baffle tie-wires — they’re not attached correctly.,var
917,Worn spots were found on the lower black seal above the intake.,var
917,The black lower seal over the intake shows areas of wear.,var
917,Inspection revealed wear patches on the lower seal above the intake.,var
917,There are several worn areas on the lower black seal located above the intake.,var
919,Two baffle tie rods need to be replaced.,var
919,Replace a pair of baffle tie-rods during the next shop visit.,var
919,Both baffle tie rods are worn and must be swapped out.,var
919,Three baffle tie rods require replacement.,var
929,Engine ran rough at full throttle.,var
929,"When the throttle was set to maximum, the engine showed roughness.",var
929,Noted rough running of the engine at full power.,var
929,At wide-open throttle the engine became rough.,var
934,The left engine baffle adjacent to the rocker covers is cracked.,var
934,I found a crack in the baffle by the rocker covers on the No. 1 engine.,var
934,Cracked baffle next to the rocker covers on the right engine.,var
934,Baffle beside the rocker covers on the left-hand engine shows a crack.,var
955,The lower intake clamp on engine #2 is loose.,var
955,Found the lower intake clamp loose on the left engine (#1).,var
955,Lower intake clamp loosened on engine 3 — needs tightening.,var
955,Detected a loose clamp at the lower intake of the right-hand engine (#4).,var
958,Oil is seeping from the top seam between the case halves.,var
958,Oil is oozing out of the upper joint where the two case halves meet.,var
958,Found oil weeping from the top of the crankcase halves.,var
958,A leak of oil was observed at the top of the case halves.,var
966,Left engine rocker box covers at cylinders #1 and #4 are seeping.,var
966,Found oil seeping from the rocker covers on the right engine at positions 2 and 3.,var
966,"Rocker-box covers on the left engine, cylinders 1 and 4, show seepage.",var
966,Seepage detected from the right engine's rocker box covers for cylinders #2 and #3.,var
993,The forward baffle seal shows abrasion damage from contact with the engine intake.,var
993,The front baffle seal is worn down where it rubs against the intake.,var
993,Found wear on the nose (forward) baffle seal caused by the engine intake airflow.,var
993,Inspection revealed the forward baffle seal eroded at the intake contact area.,var
998,Engine removal is required after metal particles were found in the oil.,var
998,Metal shavings showed up in the oil — pull the engine off for inspection.,var
998,The engine must be removed for teardown because metallic contamination was discovered in the oil.,var
998,Removal of the engine is necessary due to metal found in the oil sample.,var
999,"Manifold pressure was high during hover, reading about 27 in; performed a low-rotor-speed check.",var
999,While hovering the manifold PSI read high — 25 inches — so I did a low rotor run.,var
999,High manifold pressure (approximately 26 in) observed in hover; low-rotor RPM check completed.,var
999,Observed elevated manifold psi of roughly 24.5 inHg during hover and carried out a low rotor run-up.,var
1011,The patch on the right upper baffle has a small crack.,var
1011,Found a small crack in the patch on the left upper baffle.,var
1011,Patch on the #2 upper baffle shows a hairline crack.,var
1011,A tiny split was noted in the upper baffle patch on the #1 side.,var
1014,Staples retaining the baffle seal on the #2 cylinder baffle section are loose.,var
1014,I found the baffle-seal staples loose on the left #1 cylinder baffle area.,var
1014,The #3 cylinder baffle section has loose seal staples.,var
1014,Loose staples were observed on the right #4 cylinder baffle seal section.,var
1019,Baffle tie wire between Nos. 1 and 3 is loose and rubbing the No. 1 drain tube.,var
1019,Found the baffle tie wire on cylinders 2–4 loose — it’s chafing the No. 2 drain tube.,var
1019,Loose baffle tie wire (No.1–3) is contacting and wearing on the right drain tube.,var
1019,Tie wire that secures the baffles came loose and is rubbing the left drain line at cylinder 3.,var
1020,"The engine started and idled normally for about two minutes, then suddenly exhibited a fault.",var
1020,"Engine fired up and held idle fine for roughly 120 seconds, then something went wrong.",var
1020,Started and idled OK for about three minutes before an issue presented itself.,var
1020,"The engine came up and stayed at idle for about 1½ minutes, after which symptoms began.",var
1031,The front baffle seal is loose and shows worn spots.,var
1031,Front seal (baffle seal) is coming loose and has several areas of abrasion.,var
1031,Noticed the front seal on the baffle is unsecured with localized wear where material is thin.,var
1031,The front seal's loose and has worn-through spots on the baffle.,var
1034,The oil cooler bolt was removed for maintenance.,var
1034,Took the bolt off the oil cooler.,var
1034,Removed the bolt securing the oil cooler.,var
1034,Oil cooler fastener removed.,var
1070,The forward engine's black baffle seal shows a small worn spot on the left side.,var
1070,"Found a tiny rubbed area on the black baffle seal of the #1 forward engine, on the right side.",var
1070,A small abrasion was noted on the LH side of the black baffle seal for the forward engine.,var
1070,Forward engine No.2 black baffle seal has a minor wear spot on the right side.,var
1092,The #2 baffle requires patching and the button-plug hole shows excessive wear.,var
1092,"Found the #4 baffle needs a patch, and the button plug hole is worn out too.",var
1092,Baffle on #3 needs patching; button plug hole also worn.,var
1092,Patch the #1 baffle — the button plug hole has worn as well.,var
1115,Oil pressure sender ground strap is not connected.,var
1115,The ground strap for the oil pressure sensor wasn't hooked up.,var
1115,Grounding lead to the oil pressure sender is disconnected.,var
1115,Found the oil pressure sender’s ground strap unconnected during inspection.,var
1124,The left inner engine baffle tie is disconnected.,var
1124,The inboard baffle tie on the right engine has come loose and is disconnected.,var
1124,Inspection revealed the inner baffle tie disconnected on #2 engine.,var
1124,Inner engine baffle tie on the left side is not secured.,var
1125,"Engine ran rough after start-up, showing RPM gains and drops of about 8 rpm.",var
1125,"After starting, the engine was coughing and bounced around by roughly 10 revs.",var
1125,"Following start-up the engine operated roughly, with fluctuations of about 6 rpm.",var
1125,Engine rough on start; RPM oscillated around 9 rpm.,var
1130,The right air intake hose is not hooked up to the intake duct.,var
1130,Found the left air intake hose disconnected and not attached.,var
1130,The right inlet hose was not secured — it’s not connected.,var
1130,"Left air intake hose hanging loose, not hooked up.",var
1145,The alternate air door spring exhibits insufficient tension.,var
1145,The spring on the alternate air door is weak and barely holds the door closed.,var
1145,Found a weak alternate-air-door spring during the inspection.,var
1145,Alternate air door spring needs replacement because it has lost its spring force.,var
1150,Engine reached 2720 RPM for about 2 seconds.,var
1150,Spiked to roughly 2700 rpm for a couple of seconds.,var
1150,Observed 2725 RPM held for approximately 2.0 s.,var
1150,RPM climbed to about 2710 for ~2 seconds.,var
1175,"During engine start and while the engine was running, noticeable vibrations were observed.",var
1175,We felt the engine shake on start-up and again during normal running.,var
1175,Vibrations occurred at engine start and persisted with the engine operating.,var
1175,"At engine start and throughout engine operation, intermittent vibration was detected.",var
1196,All intake gaskets must be replaced.,var
1196,Replace every intake gasket — they need renewal.,var
1196,Every intake gasket requires replacement before return to service.,var
1196,Remove and install new gaskets on all intake connections.,var
1218,Inspection revealed soot and burn damage consistent with a carburetor fire on the left carburetor airbox.,var
1218,Found charring and heat marks indicating a carb fire at the right carburetor airbox.,var
1218,Evidence of carburetor combustion was observed on the left carburetor air box.,var
1218,Soot accumulation and burn scars point to a carburetor fire on the right carburetor airbox.,var
1221,Engine RPM spiked to 2740 rpm for about 1–3 seconds.,var
1221,The tach jumped to roughly 2750 rpm for around two seconds.,var
1221,Observed approximately 2700–2800 rpm for 1 to 3 seconds during the event.,var
1221,RPM hit about 2740 for roughly three seconds.,var
1222,An oil leak was found at the right engine backbone at the aft bolt.,var
1222,Found oil seeping from the aft bolt on the left engine backbone.,var
1222,Oil leakage noted at the aft fastener of the right engine backbone.,var
1222,Leak detected at the rear (aft) bolt on the left engine backbone — oil present.,var
1225,The engine cowl cam lock was found loose during inspection.,var
1225,Cowl cam latch on the engine is loose — needs tightening.,var
1225,Engine cowl cam lock not secured.,var
1225,Observed excessive play in the cam-style lock of the engine cowl.,var
1240,Right forward baffle section above cylinder No. 1 has damaged nutplates.,var
1240,The left forward baffle over cylinder #2 has busted nutplates.,var
1240,Found damaged nutplates on the forward baffle section above the #3 cylinder on the right side.,var
1240,Forward baffle above cylinder 4 on the left side shows damaged nutplates.,var
1252,"During a power‑on stall at full throttle, a loud tapping noise was heard.",var
1252,"While doing a power-on stall with the throttle at 100%, we heard a loud tap.",var
1252,A loud tap was noted during the full‑throttle power-on stall.,var
1252,"During the power-on stall event at maximum throttle, a distinct tapping sound occurred.",var
1272,During flight the engine began making an abnormal noise and noticeable vibration.,var
1272,The pilot reported the engine started producing unusual sounds and abnormal vib while airborne.,var
1272,In flight the engine developed an abnormal sound accompanied by increased vibration.,var
1272,Engine began emitting a strange noise and vibrating abnormally during flight.,var
1299,During start-up the engine started but ran very rough and would not keep running.,var
1299,At engine start it fired up but was running rough and wouldn't stay running.,var
1299,Engine initiated during the start sequence; however it operated very roughly and failed to remain running.,var
1299,"When starting, the engine came alive but ran extremely rough and would not maintain operation.",var
1308,Compressor wash is required to remove buildup from the engine.,var
1308,We need to perform a compressor wash.,var
1308,Compressor wash mandatory per maintenance procedure.,var
1308,Perform compressor washing to restore compressor efficiency.,var
1321,The lower outboard bolt for the oil cooler flange was found loose and cracked.,var
1321,Found the bottom inboard bolt on the oil cooler flange loose with a visible crack.,var
1321,Left lower oil cooler flange bolt is loose and shows a crack.,var
1321,Lower right oil cooler flange bolt (O/B) loose and cracked.,var
1340,Rocker drain lines on cylinders 1 and 3 are leaking.,var
1340,Found leaks in the #2 and #3 cylinder rocker drain lines.,var
1340,Leakage observed from the rocker drain line of cylinder 4.,var
1340,Detected leaks in the rocker drain lines for cylinders 1 and 2.,var
1341,An engine replacement is required.,var
1341,We need to swap out the engine.,var
1341,A change of the engine is necessary.,var
1341,Replace the engine before the next flight.,var
1354,"Black wear spots were found on the forward seal, caused by material from the intake.",var
1354,The forward seal shows black scuffed areas originating from the intake.,var
1354,Intake-related deposits have produced black wear spots on the forward seal.,var
1354,Forward seal has black abrasion marks from the intake.,var
1372,The right engine ran rough in climb and cruise; the left magnetos were shut off.,var
1372,"Right-side engine was rough during climb and cruise, so they turned off the left mags.",var
1372,#1 engine showed roughness in both climb and cruise — the right magneto set was switched off.,var
1372,During climb and cruise the #2 engine ran roughly and the left magnetos were shut down.,var
1377,The screw behind the oil tube filter is loose.,var
1377,Found a loose fastener rear of the oil-filter tube during the inspection.,var
1377,A screw located aft of the oil tube filter was found not tightened and needs securing.,var
1377,Loose screw detected at the rear of the oil tube filter; recommend torquing before next run.,var
1385,"Engine oversped, with peak RPM recorded at about 2750.",var
1385,"The engine hit an overspeed condition, topping out near 2800 rpm.",var
1385,"Peak engine speed observed was 2700 RPM, indicating an overspeed event.",var
1385,Observed engine overspeed — highest reading roughly 2760 rpm.,var
1388,Right rear baffle is missing its grommet.,var
1388,The rear baffle on the left side has no grommet installed.,var
1388,Found the right aft baffle without a grommet during inspection.,var
1388,No grommet on the right rear baffle — needs replacement.,var
1398,Rocker box cover screws are loose on all cylinders and require re-torquing.,var
1398,Found loose rocker box cover screws on every cylinder — tighten them up.,var
1398,All cylinders exhibit loose rocker box cover screws.,var
1398,Both left and right cylinder banks have loose rocker box cover screws.,var
1402,Torn baffle seals detected on the right side; replacement required.,var
1402,The baffle seals over on the left side are ripped.,var
1402,Baffle seal damage observed on No. 2 (right‑hand) side.,var
1402,Found torn baffle seals along the RH side during inspection.,var
1418,A screw is missing from the #2 rocker cover.,var
1418,Found one fastener absent on the #4 rocker cover during inspection.,var
1418,Missing screw on the rocker cover for cylinder 3.,var
1418,One screw is missing from the #1 rocker cover.,var
1422,Rivet pulled through the baffle seal at cylinder No. 1.,var
1422,A rivet tore through the baffle seal on cylinder #2.,var
1422,Found a rivet pulled through the baffle seal of cylinder 3.,var
1422,Inspection revealed the baffle seal at cylinder #4 had a rivet pulled through it.,var
1433,The exhaust pushrod tube on cylinder #1 shows a small dent.,var
1433,Spotted a slight ding in the push rod tube on the #3 cylinder’s exhaust side.,var
1433,Cylinder #2 exhaust pushrod tube has a minor dent.,var
1433,Inspect the #4 cylinder’s exhaust pushrod tube — there’s a small dent.,var
1440,Engine idle RPM is lower than specified.,var
1440,Idle speed is too low.,var
1440,Found the engine idling below acceptable RPM.,var
1440,The RPM at idle is under the required value.,var
1443,Engine baffling cracked on the right side above cylinder #1.,var
1443,Found a crack in the baffle on the left side over cylinder #2.,var
1443,"Baffle fracture located on the right, just above cylinder 3.",var
1443,Observed cracked engine baffle above cylinder #4 on the left-hand side.,var
1448,The aircraft will not start.,var
1448,The plane won't crank up.,var
1448,Engine refuses to start during the start attempt.,var
1448,A/C fails to power up — no start.,var
1453,The engine is dirty.,var
1453,Heavy grime and oil residue were found on the powerplant.,var
1453,Noted engine soiling — cleaning required.,var
1453,A lot of dirt observed on the engine; recommend a wash.,var
1504,Oil leak detected at the backbone case seam of the right engine.,var
1504,Found oil seeping from the backbone case seam on the left engine.,var
1504,No.1 engine shows oil leaking at the backbone/case seam.,var
1504,Oil observed escaping from the backbone case seam on the right-hand engine.,var
1518,Engine overspeed occurred at 3275 RPM.,var
1518,The engine went past redline and reached about 3300 rpm.,var
1518,Overspeed event — engine hit 3200 RPM.,var
1518,An engine overspeed was recorded with the tach showing 3280 rpm.,var
1529,Crack found on top of the #2 cylinder baffle during inspection.,var
1529,Noted a crack at the top of the #1 cylinder baffling.,var
1529,Found a crack on the top of the #3 cylinder baffle.,var
1529,Top of the left #4 cylinder baffle showed a crack.,var
1538,Inner baffle connector rod between cylinders 2 and 4 is broken.,var
1538,The inner baffle link rod on cyls 1 and 3 snapped.,var
1538,Connector rod for the inner baffle of cylinders 4 and 2 has failed.,var
1538,Inner baffle support rod on cylinder two and four fractured.,var
1541,Baffle connection rod loose on #1 and #3 cylinders of the left engine.,var
1541,Inspection revealed the baffle connecting rod was loose on cylinders #2 and #4 of the right engine.,var
1541,Found the baffle link slack at cylinders 3 and 1 on the left-hand engine.,var
1541,"The connecting rod for the baffle was loose on the right-side engine, affecting cylinders 4 and 2.",var
1542,Left engine #4 cylinder is dead.,var
1542,The #2 cylinder on the right engine isn't firing.,var
1542,Found cylinder 4 on the LH engine completely inoperative.,var
1542,RH engine #3 cylinder dead.,var
1550,Wear observed on the forward black engine seal.,var
1550,The front black seal on the engine is worn out.,var
1550,Forward black engine seal shows signs of wear.,var
1550,The black seal at the forward section of the engine is worn.,var
1559,Oil is leaking from the right engine crankcase lifting eyebolt.,var
1559,There's oil dripping from the lifting eyebolt on the left engine crankcase.,var
1559,Found oil seepage at the crankcase lift eye-bolt of the right engine.,var
1559,Right-hand engine crankcase lift eyebolt shows an oil leak.,var
1573,The lower black seal on the engine is worn at the intake lip.,var
1573,The bottom black engine seal is rubbed where it meets the intake.,var
1573,Wear noted on the lower black seal at the engine intake.,var
1573,Lower black intake seal shows abrasion on the engine.,var
1585,Cylinder #3 exhaust valve failed — exhaust clearance measured 0.034 in.,var
1585,Found the exhaust valve on #2 cylinder had failed; EX clearance was .034 inches.,var
1585,"Exhaust valve failure noted on cylinder #4 with ex. clearance recorded at 0.034"".",var
1585,The #1 cylinder’s exhaust valve failed (ex clearance 0.034 in.).,var
1589,Right engine cylinder #3 shows no compression.,var
1589,No compression was found in cylinder 2 of the left engine.,var
1589,Found zero compression in the 3rd cylinder of the right-hand engine.,var
1589,Cylinder #4 on the left engine registered no compression during the test.,var
1606,A small oil leak was observed at the right engine backbone bolt.,var
1606,The left engine’s backbone bolt is dripping a little oil.,var
1606,Found slight oil seepage from the backbone bolt on #2 engine.,var
1606,#1 engine backbone bolt leaking a small amount of oil.,var
1621,Compression on the right engine’s No.4 cylinder measured 40/80.,var
1621,The right-side engine’s #3 cylinder only made about 38 of 80 psi on the compression check.,var
1621,Left engine cylinder 4 compression was recorded at 42/80 psi.,var
1621,Cylinder No.2 on the right engine showed a 40/80 compression reading during inspection.,var
